time	V(n003)	V(n004)
6.541581150125930e-03	4.854620e-01	-2.583000e-03
6.581581150125970e-03	7.636876e-01	-4.904356e-03
6.621581150126010e-03	9.870423e-01	-6.917553e-03
6.661581150126050e-03	1.150226e+00	-8.496094e-03
6.701581150126090e-03	1.250941e+00	-9.540795e-03
6.741581150126130e-03	1.288441e+00	-9.986012e-03
6.761868402982207e-03	1.282695e+00	-9.972208e-03
6.784318631040342e-03	1.257855e+00	-9.768417e-03
6.820714950239726e-03	1.175520e+00	-9.029052e-03
6.860714950239766e-03	1.025010e+00	-7.676421e-03
6.900714950239806e-03	8.130988e-01	-5.841451e-03
6.940714950239846e-03	5.444822e-01	-3.639441e-03
6.980714950239886e-03	2.281144e-01	-1.208752e-03
7.020714950239926e-03	-1.212037e-01	1.297887e-03
7.060714950239966e-03	-4.820945e-01	3.722975e-03
7.100714950240006e-03	-8.273938e-01	5.914135e-03
7.140714950240046e-03	-1.126715e+00	7.733689e-03
7.180714950240086e-03	-1.350575e+00	9.067306e-03
7.220714950240126e-03	-1.475208e+00	9.831191e-03
7.254011634494129e-03	-1.493386e+00	9.996823e-03
7.271531951891341e-03	-1.471016e+00	9.908624e-03
7.300019643631139e-03	-1.387833e+00	9.510184e-03
7.340019643631179e-03	-1.183875e+00	8.442618e-03
7.380019643631219e-03	-8.994241e-01	6.844571e-03
7.420019643631259e-03	-5.628569e-01	4.816455e-03
7.460019643631299e-03	-2.041946e-01	2.485703e-03
7.500019643631339e-03	1.487391e-01	-1.234246e-06
7.540019643631379e-03	4.733925e-01	-2.488094e-03
7.580019643631419e-03	7.536098e-01	-4.818618e-03
7.620019643631459e-03	9.792424e-01	-6.846371e-03
7.660019643631499e-03	1.144842e+00	-8.443940e-03
7.700019643631539e-03	1.248022e+00	-9.510946e-03
7.740019643631579e-03	1.287999e+00	-9.980345e-03
7.761286377434007e-03	1.282917e+00	-9.974866e-03
7.783371875380585e-03	1.259136e+00	-9.780972e-03
7.819186731342409e-03	1.179849e+00	-9.069909e-03
7.859186731342449e-03	1.031727e+00	-7.737604e-03
7.899186731342489e-03	8.220905e-01	-5.919116e-03
7.939186731342529e-03	5.554976e-01	-3.728708e-03
7.979186731342569e-03	2.407096e-01	-1.304012e-03
8.019186731342609e-03	-1.077140e-01	1.202620e-03
8.059186731342649e-03	-4.686453e-01	3.633687e-03
8.099186731342689e-03	-8.151012e-01	5.836436e-03
8.139186731342729e-03	-1.116752e+00	7.672460e-03
8.179186731342769e-03	-1.343989e+00	9.026395e-03
8.219186731342809e-03	-1.472744e+00	9.813169e-03
8.253426556678156e-03	-1.493991e+00	9.997683e-03
8.270579359412666e-03	-1.473096e+00	9.916519e-03
8.298473750761315e-03	-1.394021e+00	9.539762e-03
8.338473750761355e-03	-1.193672e+00	8.494275e-03
8.378473750761395e-03	-9.118171e-01	6.915061e-03
8.418473750761435e-03	-5.766936e-01	4.901349e-03
8.458473750761475e-03	-2.183248e-01	2.579667e-03
8.498473750761515e-03	1.353039e-01	9.589560e-05
8.538473750761555e-03	4.614074e-01	-2.393902e-03
8.578473750761595e-03	7.435778e-01	-4.733281e-03
8.618473750761635e-03	9.714577e-01	-6.775252e-03
8.658473750761675e-03	1.139444e+00	-8.391508e-03
8.698473750761715e-03	1.245062e+00	-9.480494e-03
8.738473750761755e-03	1.287489e+00	-9.973787e-03
8.760709577698478e-03	1.283151e+00	-9.977369e-03
8.782433526823619e-03	1.260394e+00	-9.793074e-03
8.817671356050050e-03	1.184078e+00	-9.109597e-03
8.857671356050090e-03	1.038325e+00	-7.797568e-03
8.897671356050130e-03	8.309537e-01	-5.995589e-03
8.937671356050170e-03	5.663801e-01	-3.816885e-03
8.977671356050210e-03	2.531829e-01	-1.398352e-03
9.017671356050250e-03	-9.432276e-02	1.108044e-03
9.057671356050290e-03	-4.552516e-01	3.544818e-03
9.097671356050330e-03	-8.028100e-01	5.758858e-03
9.137671356050370e-03	-1.106725e+00	7.611047e-03
9.177671356050410e-03	-1.337276e+00	8.985007e-03
9.217671356050450e-03	-1.470095e+00	9.794406e-03
9.252844644671798e-03	-1.494526e+00	9.998403e-03
9.269631892469987e-03	-1.475060e+00	9.924020e-03
9.296935717506560e-03	-1.399983e+00	9.568295e-03
9.336935717506600e-03	-1.203260e+00	8.544873e-03
9.376935717506640e-03	-9.240333e-01	6.984545e-03
9.416935717506680e-03	-5.903925e-01	4.985353e-03
9.456935717506720e-03	-2.323613e-01	2.672912e-03
9.496935717506760e-03	1.219243e-01	1.925227e-04
9.536935717506800e-03	4.494427e-01	-2.299964e-03
9.576935717506840e-03	7.335412e-01	-4.647935e-03
9.616935717506880e-03	9.636458e-01	-6.703859e-03
9.656935717506920e-03	1.134003e+00	-8.338556e-03
9.696935717506960e-03	1.242046e+00	-9.449310e-03
9.736935717507000e-03	1.286911e+00	-9.966329e-03
9.760135033216044e-03	1.283393e+00	-9.979731e-03
9.781498759350638e-03	1.261636e+00	-9.804792e-03
9.816161064506668e-03	1.188225e+00	-9.148329e-03
9.856161064506708e-03	1.044838e+00	-7.856628e-03
9.896161064506748e-03	8.397291e-01	-6.071265e-03
9.936161064506788e-03	5.771830e-01	-3.904422e-03
9.976161064506828e-03	2.655917e-01	-1.492250e-03
1.000000000000001e-02	6.204905e-02	-6.428333e-15
